title,release_date,categories,sub_categories,price,img_url,desc,rating,reviews_count
BALDUR'S GATE 3,"AUG 3, 2023",Adventure;,,990000.0,https://cdn.cloudflare.steamstatic.com/steam/apps/1086940/header.jpg?t=1696948801,dummy desc,5,337096
NEW WORLD,"SEP 28, 2021",Adventure;,Open World;,1000000.0,https://cdn.cloudflare.steamstatic.com/steam/apps/1063730/header.jpg?t=1695753023,dummy desc,3,227383
GRAND THEFT AUTO V,"APR 14, 2015",Adventure;Action;,Open World;Multiplayer;,227000.0,https://cdn.cloudflare.steamstatic.com/steam/apps/271590/header.jpg?t=1695060909,dummy desc,4,1504366
BATMAN™: ARKHAM KNIGHT,"JUN 24, 2015",Adventure;Action;,Open World;,37500.0,https://cdn.cloudflare.steamstatic.com/steam/apps/208650/header.jpg?t=1694042300,dummy desc,4,69136
SONS OF THE FOREST,"FEB 24, 2023",Adventure;Survival;,Open World;Multiplayer;,308000.0,https://cdn.cloudflare.steamstatic.com/steam/apps/1326470/header.jpg?t=1697048131,dummy desc,4,132379
EURO TRUCK SIMULATOR 2 - WEST BALKANS,"OCT 20, 2023",Adventure;Simulation;,Open World;Multiplayer;,249000.0,https://cdn.cloudflare.steamstatic.com/steam/apps/2004210/header.jpg?t=1697798746,dummy desc,4,673
STAR WARS JEDI: SURVIVOR™,"APR 28, 2023",Adventure;Action;,Singleplayer;,708500.0,https://cdn.cloudflare.steamstatic.com/steam/apps/1774580/header.jpg?t=1689016715,dummy desc,2,35097
RUST,"FEB 9, 2018",Adventure;Survival;,Multiplayer;Open World;,510000.0,https://cdn.cloudflare.steamstatic.com/steam/apps/252490/header.jpg?t=1693652810,dummy desc,4,796126
MIDDLE-EARTH™: SHADOW OF WAR™,"OCT 10, 2017",Adventure;Action;,Open World;Singleplayer;,72000.0,https://cdn.cloudflare.steamstatic.com/steam/apps/356190/header.jpg?t=1575317164,dummy desc,4,67633
DON'T STARVE TOGETHER,"APR 21, 2016",Adventure;Survival;,Multiplayer;Open World;,56000.0,https://cdn.cloudflare.steamstatic.com/steam/apps/322330/header_alt_assets_41.jpg?t=1697740612,dummy desc,5,284849
LOVE IS ALL AROUND,"OCT 18, 2023",Role-Playing;Visual Novel;,Singleplayer;,128000.0,https://cdn.cloudflare.steamstatic.com/steam/apps/2322560/header.jpg?t=1697985621,dummy desc,4,2882
DOTA 2,"JUL 10, 2013",Role-Playing;Strategy;,Multiplayer;,0.0,https://cdn.cloudflare.steamstatic.com/steam/apps/570/header.jpg?t=1697142820,dummy desc,4,2077406
CYBERPUNK 2077: PHANTOM LIBERTY,"SEP 26, 2023",Role-Playing;,Open World;,495000.0,https://cdn.cloudflare.steamstatic.com/steam/apps/2138330/header_alt_assets_1.jpg?t=1695740414,dummy desc,4,9431
WARFRAME,,Role-Playing;Action;,Action RPG;Third-Person Shooter;,0.0,https://cdn.cloudflare.steamstatic.com/steam/apps/230410/header.jpg?t=1697647667,dummy desc,4,546660
DESTINY 2,"OCT 2, 2019",Role-Playing;,Open World;,0.0,https://cdn.cloudflare.steamstatic.com/steam/apps/1085660/header.jpg?t=1696977153,dummy desc,4,567900
STARFIELD,"SEP 6, 2023",Role-Playing;,Space;Singleplayer;Open World;,1290000.0,https://cdn.cloudflare.steamstatic.com/steam/apps/1716740/header.jpg?t=1696622369,dummy desc,3,70350
EURO TRUCK SIMULATOR 2,"OCT 13, 2012",Simulation;,Open World;,70000.0,https://cdn.cloudflare.steamstatic.com/steam/apps/227300/header.jpg?t=1697795373,dummy desc,5,503155
WAR THUNDER,"AUG 15, 2013",Simulation;,,0.0,https://cdn.cloudflare.steamstatic.com/steam/apps/236390/header.jpg?t=1695124816,dummy desc,3,406236
SID MEIER’S CIVILIZATION® VI,"OCT 21, 2016",Simulation;Strategy;,Turn-Based Strategy;Multiplayer;Singleplayer;,70500.0,https://cdn.cloudflare.steamstatic.com/steam/apps/289070/header.jpg?t=1680898825,dummy desc,4,204699
AMERICAN TRUCK SIMULATOR,"FEB 3, 2016",Simulation;,Open World;,70000.0,https://cdn.cloudflare.steamstatic.com/steam/apps/270880/header.jpg?t=1696680487,dummy desc,5,109795
MADDEN NFL 24,"AUG 18, 2023",Simulation;Strategy;,,708500.0,https://cdn.cloudflare.steamstatic.com/steam/apps/2140330/header_alt_assets_0.jpg?t=1697663473,dummy desc,1,2149
NBA 2K24,"SEP 7, 2023",Simulation;,,600000.0,https://cdn.cloudflare.steamstatic.com/steam/apps/2338770/header.jpg?t=1697814723,dummy desc,0,8327
